gender,age,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
Female,31.33,12,Clerical,25200,14100,90,55,No
Female,54.17,16,Manager,37800,15750,90,7,No
Female,30.92,15,Clerical,18750,10500,90,54,No
Female,49.92,15,Clerical,32550,13500,90,22,No
Female,28.83,12,Clerical,33300,15000,90,3,No
Female,59.83,16,Clerical,38550,16500,90,0,No
Male,29.75,12,Clerical,27450,15000,90,173,Yes
Male,30.25,15,Custodial,24300,15000,90,191,Yes
Male,28.67,12,Custodial,30750,15000,90,209,Yes
Female,30.83,12,Clerical,19650,9750,90,229,Yes
Male,29.58,17,Manager,68750,27510,89,38,No
Male,31.75,20,Manager,59375,30000,89,6,No
Male,27.58,15,Clerical,31500,15750,89,22,No
Male,39.67,12,Clerical,27300,17250,89,175,No
Male,60.67,15,Clerical,27000,15750,89,87,No
Female,57.42,16,Manager,41550,24990,89,285,No
Female,32.25,12,Clerical,26250,10950,89,0,No
Male,32.17,12,Clerical,22200,15000,88,324,No
Male,29.42,21,Manager,65000,37500,88,264,No
Male,31.75,12,Clerical,30900,15000,88,252,No
Female,30.42,8,Clerical,20100,13200,88,90,No
Female,28.67,12,Clerical,22350,13500,88,26,No
Female,46.25,15,Clerical,35550,13350,88,32,No
Female,42.58,12,Clerical,28500,13950,88,34,No
Female,35.42,12,Clerical,24450,13200,88,107,No
Female,38.5,8,Clerical,16650,9750,88,412,No
Male,44.92,12,Clerical,26700,13500,88,38,Yes
Male,56,18,Clerical,43950,23250,88,182,Yes
Male,29.58,15,Clerical,23700,13500,88,359,Yes
Female,39.67,15,Clerical,26550,14250,88,61,Yes
Male,37.08,12,Clerical,27600,15000,87,75,No
Male,29.08,12,Clerical,25800,15000,87,143,No
Male,30.67,16,Manager,42300,26250,87,126,No
Male,25.58,8,Custodial,30750,15000,87,451,No
Female,34.67,12,Clerical,26700,12900,87,18,No
Female,50.25,12,Clerical,20850,12000,87,163,No
Male,31.75,15,Clerical,35250,15000,87,54,Yes
Male,34.17,15,Clerical,26700,15000,87,56,Yes
Female,28.5,12,Clerical,26550,13050,87,11,Yes
Female,64.25,12,Clerical,27750,12000,87,11,Yes
Female,36.92,16,Clerical,25050,12750,87,123,Yes
Male,32.25,16,Manager,66000,47490,86,150,No
Male,40.08,16,Clerical,52650,19500,86,20,No
Male,33.42,16,Manager,45625,23250,86,60,No
Male,61.75,15,Clerical,30900,15000,86,25,No
Female,33.42,15,Clerical,29400,16500,86,24,No
Female,32,15,Clerical,33300,13500,86,24,No
Female,29.67,12,Clerical,21900,9750,86,156,No
Female,28.42,12,Clerical,18150,9750,86,72,No
Female,55.58,16,Manager,46875,17250,86,19,No
Male,31.75,12,Clerical,25500,14400,86,37,Yes
Male,27.58,12,Clerical,26550,15000,86,38,Yes
Male,32.08,12,Clerical,26700,13500,86,367,Yes
Female,34.5,15,Clerical,29850,15000,86,79,Yes
Male,25.58,20,Manager,69250,42480,85,134,No
Male,35.17,8,Custodial,31950,15000,85,438,No
Male,27.25,8,Clerical,26250,15600,85,171,No
Female,46,16,Clerical,35700,17250,85,19,No
Female,31.67,12,Clerical,28500,16500,85,69,No
Female,29.92,12,Clerical,17100,10200,85,72,No
Male,29.58,12,Clerical,25200,13050,85,29,Yes
Female,32.08,12,Clerical,24000,12750,85,59,Yes
Female,30.17,12,Clerical,27450,10200,85,101,Yes
Female,37.17,12,Clerical,18450,10200,85,228,Yes
Male,28.42,15,Clerical,39300,15750,84,72,No
Male,31.17,15,Clerical,38850,15000,84,53,No
Male,30.08,8,Custodial,30750,15000,84,380,No
Male,32.25,15,Clerical,37500,20400,84,33,No
Male,30.75,16,Manager,58750,21750,84,13,No
Female,34.83,12,Clerical,34500,18750,84,208,No
Female,31.67,12,Clerical,36000,19980,84,240,No
Female,34.92,8,Clerical,29100,16500,84,35,No
Female,29,12,Clerical,16500,10200,84,288,No
Male,34.75,12,Clerical,19650,12750,84,180,Yes
Female,30.42,12,Clerical,24750,12000,84,41,Yes
Female,24.92,15,Clerical,27150,15750,84,231,Yes
Female,53.33,12,Clerical,26400,12750,84,36,Yes
Female,64.5,16,Clerical,23100,12000,84,214,Yes
Male,24.5,15,Manager,54900,25500,83,49,No
Male,23,19,Manager,70875,43500,83,156,No
Male,46.42,16,Manager,51250,27480,83,69,No
Male,24.75,17,Manager,67500,34980,83,9,No
Male,25.75,12,Clerical,29340,19500,83,150,No
Male,24.08,15,Clerical,39600,16500,83,47,No
Male,32,12,Clerical,29100,15000,83,50,No
Male,62.08,15,Clerical,33150,16500,83,69,No
Male,24.33,16,Manager,66750,52500,83,258,No
Male,42.08,12,Custodial,33750,15000,83,284,No
Male,40.17,15,Clerical,27300,17250,83,91,No
Female,59.83,12,Clerical,24000,11250,83,16,No
Female,23.25,8,Clerical,19800,10200,83,75,No
Male,24.17,15,Clerical,30600,16500,83,216,Yes
Male,23.58,15,Clerical,28950,15000,83,108,Yes
Male,56.67,15,Clerical,38400,16500,83,64,Yes
Male,29.67,8,Custodial,30750,15000,83,302,Yes
Female,25.83,12,Clerical,20400,10950,83,9,Yes
Female,24.83,12,Clerical,19200,11100,83,7,Yes
Male,55.25,15,Clerical,30150,15750,82,72,No
Male,24.92,16,Clerical,34620,27750,82,149,No
Male,28.33,15,Clerical,80000,15750,82,34,No
Male,27.42,12,Clerical,25350,15000,82,32,No
Male,60.75,12,Clerical,29850,15750,82,85,No
Female,23.25,12,Clerical,24000,13800,82,97,No
Female,24.75,15,Clerical,27750,19500,82,265,No
Female,46.5,8,Clerical,22350,10200,82,48,No
Female,28.08,12,Clerical,16200,10200,82,0,No
Female,28.17,15,Clerical,21900,12750,82,0,No
Female,24.17,16,Clerical,23250,15750,82,4,No
Female,25,12,Clerical,33900,12000,82,11,No
Female,55.58,15,Clerical,25650,14250,82,51,No
Female,23.42,12,Clerical,17250,10200,82,358,No
Male,31.5,15,Clerical,22500,15000,82,371,Yes
Male,51.92,16,Manager,40200,21000,81,3,No
Male,43.33,19,Manager,55500,33750,81,62,No
Male,32.92,15,Clerical,26550,15000,81,52,No
Male,27.25,15,Clerical,50550,19500,81,44,No
Male,45.5,19,Manager,75000,31500,81,13,No
Female,61.67,8,Clerical,27450,12000,81,9,No
Female,25.08,12,Clerical,22650,11250,81,0,No
Female,63.83,12,Clerical,27300,11250,81,5,No
Female,57.83,12,Clerical,27750,11225,81,5,No
Female,26.83,16,Manager,54375,18750,81,81,No
Female,23.75,8,Clerical,17400,10200,81,390,No
Female,55.5,12,Clerical,40800,18000,81,4,No
Female,52.5,12,Clerical,23100,10950,81,0,No
Female,25.08,8,Clerical,22500,10950,81,5,No
Female,61.33,12,Clerical,26700,11550,81,18,No
Female,51.58,12,Clerical,24900,11250,81,0,No
Female,52,12,Clerical,19650,10950,81,11,No
Female,25.58,12,Clerical,22050,10950,81,9,No
Female,27.67,12,Clerical,25500,12000,81,11,No
Female,26.25,15,Clerical,28200,12750,81,19,No
Female,55.92,12,Clerical,23100,11250,81,13,No
Male,46.17,12,Clerical,25500,11400,81,9,Yes
Female,24,8,Clerical,17100,10200,81,0,Yes
Male,29.25,18,Manager,68125,32490,80,29,No
Male,58.75,12,Custodial,30600,15750,80,460,No
Male,51.42,19,Manager,52125,27480,80,221,No
Male,26.25,19,Manager,61875,36750,80,199,No
Male,24.83,8,Clerical,21300,11550,80,24,No
Female,25.42,12,Clerical,19650,11250,80,5,No
Female,25.58,12,Clerical,22350,11250,80,5,No
Female,30.25,12,Clerical,23400,11250,80,18,No
Female,23.33,12,Clerical,24300,10950,80,8,No
Female,26.83,12,Clerical,28500,11250,80,4,No
Female,44.5,12,Clerical,19950,11250,80,8,No
Female,61.5,12,Clerical,23400,11250,80,0,No
Female,25.92,16,Clerical,34500,17250,80,3,No
Female,55.08,12,Clerical,18150,10950,80,0,No
Male,55.25,12,Clerical,22350,15000,80,272,Yes
Male,25.42,15,Clerical,40200,17250,79,38,No
Male,50.25,15,Clerical,28650,18000,79,261,No
Male,26.58,15,Clerical,27750,16500,79,55,No
Male,24.67,18,Clerical,66875,31980,79,30,No
Male,25.17,12,Custodial,30000,15750,79,308,No
Male,30.5,16,Manager,83750,21750,79,12,No
Male,52.33,12,Clerical,33900,16500,79,94,No
Male,33.5,16,Manager,56500,21000,79,12,No
Female,57.83,16,Manager,43000,17490,79,20,No
Female,30.67,8,Clerical,20850,12000,79,70,No
Female,49.17,12,Clerical,24450,12000,79,8,No
Female,29.25,12,Clerical,24750,10950,79,5,No
Male,64.25,8,Custodial,34500,15750,79,246,Yes
Male,24.83,14,Clerical,27900,15000,79,47,Yes
Male,31.92,19,Manager,68125,32010,78,35,No
Male,60,19,Manager,73500,33000,78,45,No
Male,24.5,8,Custodial,30750,15750,78,429,No
Male,27.25,15,Manager,40050,25500,78,133,No
Male,24.33,16,Clerical,40350,19500,78,20,No
Male,27,15,Manager,38700,23730,78,176,No
Male,23.67,17,Manager,65000,30750,78,26,No
Male,24.33,18,Manager,51450,36240,78,149,No
Male,59.08,12,Custodial,35250,15750,78,387,No
Male,23.42,14,Clerical,25950,15000,78,53,No
Male,51.17,15,Clerical,25050,14250,78,24,No
Male,27.08,12,Clerical,26700,12750,78,25,No
Male,53.92,8,Clerical,24000,15750,78,476,No
Male,24.58,12,Clerical,26850,15000,78,48,No
Female,55.58,12,Clerical,23400,15300,78,209,No
Female,49.08,12,Clerical,24600,13500,78,47,No
Female,32.83,15,Clerical,32550,18000,78,6,No
Male,25.08,16,Clerical,26550,15000,78,105,Yes
Male,25.25,12,Clerical,31500,13500,78,7,Yes
Male,30.17,8,Clerical,22350,15000,78,320,Yes
Male,30.08,12,Custodial,35250,15750,78,281,Yes
Female,24.92,15,Clerical,25800,13500,78,51,Yes
Male,28.42,12,Custodial,30750,15750,77,317,No
Male,29.92,15,Clerical,30750,16500,77,41,No
Male,52,16,Manager,50000,32490,77,264,No
Male,26.67,15,Clerical,34500,18000,77,63,No
Male,52.17,15,Clerical,26250,15750,77,38,No
Male,63.25,16,Clerical,44875,21240,77,22,No
Female,47.58,12,Clerical,22500,12000,77,63,No
Female,24.58,12,Clerical,25650,14250,77,64,No
Female,27.5,12,Clerical,21300,11250,77,0,No
Female,27.33,12,Clerical,29850,13500,77,38,No
Female,62.33,12,Clerical,34500,12150,77,4,No
Male,27.08,15,Clerical,27750,15000,77,52,Yes
Male,29.17,12,Clerical,27750,11550,77,12,Yes
Male,24.33,16,Manager,48750,21990,76,61,No
Male,31.5,15,Clerical,43410,15750,76,12,No
Male,50.17,12,Clerical,22050,15000,76,385,No
Female,47.33,12,Clerical,22050,12000,76,6,No
Female,44,12,Clerical,22500,14250,76,90,No
Female,27.17,15,Clerical,25500,12000,76,7,No
Female,62,12,Clerical,29160,15000,76,22,No
Female,59.83,8,Clerical,16800,10200,76,76,No
Male,25.75,8,Custodial,29550,15750,76,144,Yes
Male,25.83,12,Clerical,26700,15750,76,18,Yes
Male,25.08,18,Manager,55000,32490,75,125,No
Male,27.17,18,Manager,62500,34980,75,74,No
Male,30.58,15,Clerical,27300,17250,75,132,No
Female,29.5,12,Clerical,24450,12000,75,144,No
Female,30.75,16,Clerical,33000,18000,75,26,No
Female,54.42,15,Clerical,37050,18000,75,5,No
Female,32,12,Clerical,24450,10950,75,32,Yes
Male,58,8,Custodial,31950,15750,74,408,No
Male,59.5,16,Manager,47250,21240,74,45,No
Female,28.75,12,Clerical,26100,11550,74,2,No
Female,54.08,8,Clerical,15900,10200,74,43,No
Female,24.33,8,Clerical,23700,10650,74,281,No
Female,25.5,8,Clerical,21750,12450,74,318,No
Male,29,12,Manager,59400,33750,74,272,Yes
Female,24.67,12,Clerical,24450,14250,74,117,Yes
Male,28.75,16,Manager,103500,60000,73,150,No
Male,32.5,12,Clerical,35700,16500,73,72,No
Female,23.42,12,Clerical,22200,16500,73,7,No
Female,44.5,15,Clerical,22950,13950,73,22,No
Female,30.42,12,Clerical,23100,12000,73,228,No
Female,24.42,16,Manager,56750,30000,73,15,No
Female,59.08,17,Clerical,29100,12750,73,375,No
Female,53.92,12,Clerical,37650,15750,73,132,No
Female,25,12,Clerical,27900,13500,73,32,No
Female,51.5,8,Clerical,21150,12000,73,159,No
Male,27.58,12,Custodial,31200,15750,73,155,Yes
Female,62.42,12,Clerical,20550,11250,73,154,Yes
Male,43.92,15,Clerical,25950,17250,72,83,No
Male,28.17,15,Clerical,28350,15000,72,48,No
Female,30.17,8,Clerical,17700,10200,72,184,No
Female,28.5,15,Clerical,23550,13500,72,49,No
Female,27.33,12,Clerical,19950,10200,72,56,No
Female,25.25,12,Clerical,29400,15300,72,30,No
Female,27.33,12,Clerical,28800,13950,72,18,No
Female,25.83,8,Clerical,16950,10200,72,319,No
Male,23.67,16,Clerical,35700,18000,72,138,Yes
Female,62.5,12,Clerical,17400,10200,72,116,Yes
Female,23.67,8,Clerical,21450,10200,72,194,Yes
Female,29.08,12,Clerical,24750,12000,72,68,Yes
Female,60.5,12,Clerical,16950,10200,72,271,Yes
Female,56.92,12,Clerical,26100,13500,72,169,Yes
Male,53.92,14,Clerical,28050,15000,71,15,No
Female,24.08,16,Clerical,36600,18000,71,12,No
Female,29.92,16,Manager,58125,18000,71,11,No
Male,39.5,15,Clerical,21300,15750,70,372,No
Male,41.67,12,Clerical,22500,16500,70,216,No
Male,44.58,15,Clerical,29400,15750,70,15,No
Male,51.42,12,Clerical,27450,14700,70,41,No
Male,27.83,15,Clerical,29850,15750,70,48,No
Male,30.75,15,Clerical,25350,15750,70,56,No
Female,53.08,8,Clerical,15750,10200,70,275,No
Female,28.67,8,Clerical,19650,13050,70,102,No
Female,44.67,12,Clerical,21000,13500,70,82,No
Male,48.5,17,Clerical,27000,18000,70,192,Yes
Male,60.67,12,Clerical,24000,15750,70,120,Yes
Male,59.75,17,Manager,78500,28740,70,67,Yes
Female,32.92,12,Clerical,20850,13050,70,127,Yes
Male,47.33,12,Custodial,30000,15750,69,348,No
Male,35.25,8,Custodial,28500,15750,69,174,No
Male,29.33,19,Manager,65000,31980,69,74,No
Male,32.67,14,Clerical,30150,16500,69,110,No
Male,33.83,19,Manager,66875,32490,69,81,No
Female,31,15,Clerical,24150,13500,69,7,No
Female,37.5,12,Clerical,24450,12450,69,12,No
Female,30.33,12,Clerical,21600,12000,69,0,No
Female,33.5,12,Clerical,27900,12450,69,0,No
Female,40.58,8,Clerical,29100,12450,69,17,No
Female,43.42,12,Clerical,22650,11250,69,2,No
Female,57.17,12,Clerical,20850,11250,69,0,No
Female,29.33,12,Clerical,22950,12300,69,5,No
Female,30.33,12,Clerical,30600,12450,69,5,No
Female,24.42,12,Clerical,20400,11250,69,0,No
Female,29.67,12,Clerical,23850,12750,69,20,No
Female,28.67,12,Clerical,22800,11250,69,0,No
Female,48.25,12,Clerical,20700,11250,69,2,No
Female,34.58,12,Clerical,21300,11250,69,3,Yes
Female,28.33,12,Clerical,24300,15000,69,121,Yes
Female,38.67,12,Clerical,19650,13950,69,133,Yes
Male,28.33,17,Manager,60000,32490,68,17,No
Male,24.75,15,Clerical,30300,15750,68,55,No
Male,31.92,19,Manager,61250,33000,68,9,No
Male,25.42,19,Clerical,36000,19500,68,21,No
Female,32.08,8,Clerical,25200,18750,68,344,No
Female,41.92,12,Clerical,16200,10200,68,180,No
Female,34.58,12,Clerical,22800,11250,68,2,No
Female,42.58,16,Manager,43500,19500,68,11,No
Male,53.5,8,Custodial,30300,15750,68,155,Yes
Male,35.33,15,Clerical,31950,15750,68,70,Yes
Male,54.92,15,Clerical,35250,13500,67,6,No
Male,45.5,15,Clerical,37800,15000,67,36,No
Male,32.08,15,Clerical,31200,15750,67,46,No
Male,39.83,15,Clerical,29400,16500,67,68,No
Male,47.25,19,Manager,70000,35040,67,75,No
Male,55.33,15,Clerical,33900,15750,67,96,No
Male,63.75,15,Clerical,27150,16500,67,78,No
Female,57.5,12,Clerical,22200,13800,67,196,No
Female,30.33,15,Clerical,31350,11100,67,47,No
Female,42.17,12,Clerical,20850,13500,67,181,No
Male,33.67,16,Clerical,33300,17490,67,120,Yes
Male,37.83,8,Clerical,26250,16050,67,97,Yes
Male,48.83,15,Clerical,31950,15750,67,58,Yes
Male,29.17,8,Custodial,30000,15750,67,305,Yes
Male,43.67,19,Manager,66250,34980,67,99,Yes
Male,33.5,18,Manager,86250,45000,66,50,No
Male,38,12,Clerical,30750,15000,66,56,No
Male,27.67,12,Clerical,33540,15750,66,47,No
Male,30.5,16,Clerical,34950,20250,66,55,No
Male,27.5,15,Clerical,40350,16500,66,80,No
Male,34.17,12,Clerical,30270,15750,66,80,No
Male,46.5,8,Clerical,26250,16050,66,264,No
Male,45.92,15,Clerical,32400,15000,66,64,No
Female,48.67,12,Clerical,20400,11250,66,0,No
Female,24,8,Clerical,24150,12750,66,96,No
Female,28.42,15,Clerical,23850,13500,66,122,No
Female,46.58,12,Clerical,29700,13500,66,26,No
Female,55.17,8,Clerical,21600,13500,66,228,No
Female,26.33,12,Clerical,24450,15750,66,87,No
Male,40.67,15,Clerical,28050,16500,66,84,Yes
Male,33.83,16,Manager,100000,44100,66,128,Yes
Male,29.08,15,Clerical,49000,20550,66,86,Yes
Female,44.83,12,Clerical,16350,10200,66,163,Yes
Male,48,16,Manager,70000,21750,65,19,No
Male,60.5,19,Manager,55000,34980,65,129,No
Male,42.33,15,Clerical,28500,14250,65,20,No
Male,32.67,12,Clerical,28800,18000,65,210,No
Male,45.17,15,Clerical,24450,15750,65,338,No
Male,60.67,19,Manager,90625,31250,65,18,No
Male,51.5,16,Manager,43650,19500,65,19,No
Male,50.33,19,Manager,75000,42510,65,54,No
Male,51.5,15,Clerical,31650,14250,65,10,No
Male,26.92,19,Manager,61875,28740,65,26,No
Female,38.17,12,Clerical,21750,11250,65,0,No
Female,47.58,12,Clerical,22500,12750,65,24,No
Female,40.5,8,Clerical,21600,13500,65,173,No
Female,25.5,16,Manager,34410,19500,65,79,No
Female,51.58,15,Clerical,20700,14250,65,241,No
Male,26.08,19,Manager,47550,33000,64,27,No
Male,25.5,12,Clerical,33900,16500,64,106,No
Female,47.92,12,Clerical,23400,13500,64,198,No
Female,50,16,Clerical,32850,19500,64,20,No
Female,60.5,16,Manager,55750,19980,64,36,No
Female,54.17,15,Clerical,25200,13950,64,57,No
Male,32.08,12,Clerical,26250,15750,64,69,Yes
Male,27.58,15,Clerical,26400,15750,64,32,Yes
Male,25.25,15,Clerical,39150,15750,63,46,No
Female,51,12,Clerical,21450,12750,63,139,No
Female,39,12,Clerical,29400,14250,63,9,No
