Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,dlPredict,dlResidual,drfPredict,drfResidual,gbmPredict,gbmResidual,glmPredict,glmResidual
39,5,1438326000000,8336,929,1,1,0,1,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",7890.495582381947,445.5044176180527,8308.1522265625,27.8477734374992,8456.164598933941,-120.1645989339413,7158.159880177089,1177.8401198229112
47,5,1438326000000,9379,1021,1,1,0,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",8713.487068791535,665.5129312084646,9290.50900390625,88.49099609374935,9356.134623042828,22.865376957171975,7424.637438289035,1954.3625617109647
48,5,1438326000000,3874,390,1,1,0,1,a,a,1060,5,2012,0,,,,4155.261825893385,-281.2618258933853,4011.891044921875,-137.89104492187516,4067.1980756144585,-193.1980756144585,6471.1310422194365,-2597.1310422194365
49,5,1438326000000,10310,666,1,1,0,1,d,c,18010,9,2007,0,,,,8082.511379127009,2227.4886208729913,8151.1403125,2158.8596875000003,8264.592583231217,2045.4074167687832,7084.739440331672,3225.260559668328
51,5,1438326000000,9198,610,1,1,0,0,a,c,10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct",7964.134027987984,1233.8659720120158,7880.66,1317.3400000000001,7719.97784411121,1478.0221558887897,6560.859441611159,2637.140558388841
54,5,1438326000000,10732,889,1,1,0,1,d,c,7170,8,2014,1,5,2013,"Feb,May,Aug,Nov",11687.06527664188,-955.0652766418807,11700.39,-968.3899999999994,11732.186906657702,-1000.1869066577019,7238.507931118453,3493.4920688815473
59,5,1438326000000,7148,628,1,1,0,1,a,c,2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",7902.174323721747,-754.174323721747,6927.648330078125,220.35166992187533,7373.03596176911,-225.03596176911014,6838.1467043770535,309.85329562294646
69,5,1438326000000,11204,1371,1,1,0,1,c,c,1130,,,1,40,2011,"Jan,Apr,Jul,Oct",12006.379950222245,-802.3799502222446,12056.32333984375,-852.3233398437496,12782.290958098656,-1578.2909580986561,8036.955580383918,3167.0444196160825
72,5,1438326000000,5251,520,1,1,0,0,a,a,2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",5949.39527297429,-698.3952729742896,5758.882861328125,-507.8828613281248,5873.460030905491,-622.4600309054913,6268.512042434973,-1017.5120424349734
79,5,1438326000000,7150,643,1,1,0,1,a,a,3320,,,0,,,,6301.966865261125,848.0331347388747,6608.611162109375,541.3888378906249,6557.267733595854,592.7322664041458,6849.978026595374,300.0219734046259
80,5,1438326000000,9810,675,1,1,0,1,d,a,7910,,,0,,,,7928.582081455933,1881.417918544067,8151.89486328125,1658.1051367187501,7887.1962695639195,1922.8037304360805,6953.765388888074,2856.234611111926
85,5,1438326000000,7791,971,1,1,0,1,b,a,1870,10,2011,0,,,,7776.379297496167,14.620702503832945,8772.36482421875,-981.3648242187501,8445.776534512228,-654.776534512228,7367.316443711257,423.6835562887427
86,5,1438326000000,5572,678,1,1,0,1,a,a,480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct",5957.251146154141,-385.25114615414077,6268.52994140625,-696.5299414062501,6609.150252781397,-1037.1502527813973,6820.900955968624,-1248.9009559686237
89,5,1438326000000,7295,716,1,1,0,0,a,a,2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct",7366.29509130278,-71.29509130277984,7324.639228515625,-29.63922851562529,8063.0148675363125,-768.0148675363125,6612.0240936343325,682.9759063656675
91,5,1438326000000,6164,554,1,1,0,1,c,a,2410,,,1,35,2011,"Jan,Apr,Jul,Oct",5530.7850748740875,633.2149251259125,6254.626669921875,-90.62666992187496,6180.812346838004,-16.812346838003577,6663.367037757824,-499.3670377578237
100,5,1438326000000,10280,764,1,1,0,0,d,a,17930,,,0,,,,9264.970726491038,1015.0292735089624,9008.692734375,1271.3072656250006,8784.040638975388,1495.959361024612,6856.861738147592,3423.1382618524076
111,5,1438326000000,8897,698,1,1,0,1,d,c,7890,,,1,37,2009,"Jan,Apr,Jul,Oct",10135.983440730159,-1238.9834407301587,9558.15228515625,-661.1522851562495,9739.711574844605,-842.7115748446049,7064.650472478097,1832.349527521903
114,5,1438326000000,5750,620,1,1,0,1,c,a,4510,,,1,48,2011,"Mar,Jun,Sept,Dec",6540.60290876541,-790.6029087654097,6755.08029296875,-1005.0802929687497,6988.720992348677,-1238.720992348677,6783.504443816666,-1033.504443816666
119,5,1438326000000,7038,684,1,1,0,1,a,c,2100,2,2010,0,,,,7131.694941412747,-93.69494141274663,7133.244248046875,-95.24424804687533,7193.739150300211,-155.7391503002109,7055.359898792143,-17.359898792143213
120,5,1438326000000,10392,794,1,1,0,1,d,a,2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",9242.102136483034,1149.897863516966,9271.345712890625,1120.6542871093752,9887.451927028185,504.5480729718147,7053.96858762909,3338.0314123709104
121,5,1438326000000,4565,549,1,1,0,1,a,a,3570,11,2009,1,36,2013,"Mar,Jun,Sept,Dec",5545.118126764268,-980.1181267642678,5780.87,-1215.87,6027.2817324619355,-1462.2817324619355,6593.019247500837,-2028.019247500837
123,5,1438326000000,10750,1108,1,1,0,1,a,a,16760,9,2011,0,,,,10523.769553273918,226.23044672608194,10963.6634375,-213.66343749999942,10997.484265856034,-247.48426585603374,7590.380882621248,3159.619117378752
124,5,1438326000000,7464,780,1,1,0,1,a,a,1410,4,2003,0,,,,7462.4800389317425,1.519961068257544,7046.961318359375,417.0386816406253,7147.326533868498,316.6734661315022,7062.228555032634,401.7714449673658
125,5,1438326000000,18227,2041,1,1,0,1,a,a,760,12,2005,0,,,,16235.839242521635,1991.1607574783648,15525.75271484375,2701.2472851562507,16956.061200610882,1270.9387993891178,8944.80824656834,9282.19175343166
129,5,1438326000000,10241,1286,1,1,0,0,a,a,2460,,,1,14,2011,"Jan,Apr,Jul,Oct",10411.999576160888,-170.99957616088795,10950.7,-709.7000000000007,12324.289856485611,-2083.2898564856114,7447.807997087744,2793.1920029122557
130,5,1438326000000,5404,545,1,1,0,1,c,a,900,,,1,13,2010,"Jan,Apr,Jul,Oct",5432.33230697615,-28.332306976149994,5703.806669921875,-299.80666992187525,5819.792417846209,-415.792417846209,6603.773188039631,-1199.7731880396313
149,5,1438326000000,7144,615,1,1,0,0,d,a,2610,7,2006,1,14,2011,"Jan,Apr,Jul,Oct",7292.356158460208,-148.35615846020755,7500.62,-356.6199999999999,7749.644364408738,-605.6443644087376,6468.267841777619,675.7321582223813
150,5,1438326000000,10826,975,1,1,0,1,c,c,31830,3,2010,0,,,,10601.378456475752,224.6215435242484,10304.23296875,521.7670312499995,10278.860705427414,547.1392945725856,7600.698563584301,3225.301436415699
165,5,1438326000000,5009,501,1,1,0,0,a,a,3720,4,2005,1,13,2010,"Jan,Apr,Jul,Oct",6314.578006512111,-1305.5780065121107,5635.123330078125,-626.123330078125,5678.144390634781,-669.1443906347813,6274.85515265062,-1265.8551526506199
182,5,1438326000000,6755,491,1,1,0,1,d,c,1390,,,1,9,2011,"Mar,Jun,Sept,Dec",6821.2117408733575,-66.21174087335748,6009.100185546875,745.8998144531251,6454.3355720858635,300.66442791413647,6634.771526583179,120.22847341682063
183,5,1438326000000,5588,714,1,1,0,0,a,a,9670,,,0,,,,7636.5168892675965,-2048.5168892675965,7076.3369921875,-1488.3369921875,7588.423124305493,-2000.4231243054928,6713.842698792374,-1125.842698792374
185,5,1438326000000,7958,602,1,1,0,1,d,c,1860,5,2015,0,,,,7212.8499545809245,745.1500454190755,7433.121513671875,524.8784863281253,7045.610100470072,912.3898995299278,6961.285871892556,996.7141281074437
190,5,1438326000000,9772,821,1,1,0,0,a,a,1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct",8276.1884398388,1495.8115601612008,9053.41984375,718.5801562500001,8231.505031279808,1540.4949687201915,6747.488458249194,3024.511541750806
194,5,1438326000000,6708,518,1,1,0,1,d,c,16970,,,1,5,2013,"Feb,May,Aug,Nov",7519.539703705798,-811.5397037057983,7683.75,-975.75,7465.4070147187995,-757.4070147187995,6700.800139942468,7.199860057531623
200,5,1438326000000,11177,1122,1,1,0,1,a,a,1650,10,2000,0,,,,10317.088054989923,859.911945010077,10337.552578125,839.4474218750001,10822.29613558907,354.7038644109307,7553.885939846194,3623.1140601538063
201,5,1438326000000,6625,544,1,1,0,1,d,a,20260,,,1,18,2014,"Mar,Jun,Sept,Dec",6714.703300710814,-89.70330071081389,6954.462861328125,-329.46286132812475,7035.78375904966,-410.78375904966015,6642.451271240076,-17.451271240075585
202,5,1438326000000,7940,627,1,1,0,1,d,c,5140,5,2010,0,,,,7667.961483074332,272.03851692566786,7572.211591796875,367.7884082031251,7864.623804769999,75.37619523000103,7005.158401748107,934.8415982518927
204,5,1438326000000,7189,655,1,1,0,0,a,a,5630,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",7795.014394982659,-606.0143949826588,7134.47333984375,54.52666015624982,7692.857007495648,-503.85700749564785,6504.22197558984,684.7780244101596
207,5,1438326000000,13957,1436,1,1,0,1,a,a,6870,,,0,,,,12758.445423586054,1198.554576413946,12785.98357421875,1171.0164257812503,14415.17473631311,-458.17473631311077,8064.941366411193,5892.058633588807
210,5,1438326000000,4275,409,1,1,0,1,d,a,970,11,1999,1,5,2013,"Feb,May,Aug,Nov",4408.786210585909,-133.78621058590943,4753.087338867187,-478.0873388671871,5168.004071972853,-893.0040719728531,6341.104777050816,-2066.1047770508158
213,5,1438326000000,10485,754,1,1,0,1,d,c,4030,3,2014,1,1,2014,"Jan,Apr,Jul,Oct",9635.817754264339,849.1822457356611,9968.1196484375,516.8803515625004,10008.011542521006,476.98845747899395,7036.668821271509,3448.331178728491
216,5,1438326000000,10252,1077,1,1,0,1,c,a,190,,,1,45,2009,"Feb,May,Aug,Nov",9524.76980637626,727.23019362374,9430.48427734375,821.5157226562496,9501.932054511792,750.0679454882084,7479.640808980679,2772.359191019321
218,5,1438326000000,5685,768,1,1,0,0,a,c,640,,,1,9,2011,"Mar,Jun,Sept,Dec",7761.242409423912,-2076.2424094239122,6587.516103515625,-902.5161035156252,7833.975195161587,-2148.975195161587,6750.250042148429,-1065.2500421484292
221,5,1438326000000,7750,651,1,1,0,1,d,c,13530,9,2013,0,,,,7683.314697570483,66.68530242951692,7795.09345703125,-45.09345703125018,8017.288108162171,-267.28810816217083,7050.929700148758,699.0702998512425
226,5,1438326000000,8052,730,1,1,0,1,a,a,450,,,0,,,,6293.11236445739,1758.88763554261,6641.08765625,1410.9123437500002,6413.24176301021,1638.75823698979,6972.022789718438,1079.9772102815623
228,5,1438326000000,10369,689,1,1,0,1,d,c,10800,,,1,18,2011,"Feb,May,Aug,Nov",10116.500864682115,252.4991353178848,9912.75375,456.24625000000015,9569.800160221344,799.1998397786556,6988.274220724503,3380.725779275497
230,5,1438326000000,10988,1091,1,1,0,1,d,c,6680,9,2013,0,,,,12214.886414728462,-1226.8864147284621,11691.34990234375,-703.3499023437507,12413.710063777453,-1425.710063777453,7699.821221436607,3288.1787785633933
234,5,1438326000000,13943,1088,1,1,0,1,d,a,4370,,,0,,,,11317.72105965552,2625.2789403444804,11885.04658203125,2057.9534179687507,11938.896289906985,2004.1037100930153,7569.562866732129,6373.437133267871
238,5,1438326000000,11530,1372,1,1,0,1,a,a,320,,,1,45,2009,"Feb,May,Aug,Nov",11648.484276866084,-118.48427686608375,11587.37857421875,-57.378574218750146,11848.429534904248,-318.4295349042477,7908.57946047865,3621.4205395213503
239,5,1438326000000,6757,523,1,1,0,1,d,c,610,,,0,,,,5923.703790532162,833.2962094678378,5687.042255859375,1069.9577441406254,6176.006447515971,580.9935524840294,6822.3954530151095,-65.39545301510952
241,5,1438326000000,8650,763,1,1,0,1,d,c,780,,,0,,,,8695.018963011924,-45.018963011923915,8483.45419921875,166.54580078125036,8663.540814771837,-13.540814771837177,7187.888619215722,1462.1113807842776
246,5,1438326000000,10031,1131,1,1,0,1,c,a,4660,4,2013,0,,,,10308.859186013495,-277.85918601349476,11169.00009765625,-1138.0000976562496,11136.990621141678,-1105.9906211416783,7631.202623899997,2399.797376100003
247,5,1438326000000,11660,839,1,1,0,1,d,c,70,11,2010,1,5,2013,"Feb,May,Aug,Nov",10358.853653399288,1301.1463466007117,11238.02,421.97999999999956,10115.19333910156,1544.806660898441,7123.215210366092,4536.784789633908
248,5,1438326000000,11444,1228,1,1,0,1,a,c,340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct",10555.140667262838,888.8593327371618,10873.508828125,570.4911718750009,11292.06008838821,151.93991161178928,7781.502407752763,3662.4975922472368
250,5,1438326000000,13232,887,1,1,0,1,d,a,3520,,,1,18,2012,"Feb,May,Aug,Nov",9816.764283091743,3415.235716908257,10348.93880859375,2883.06119140625,10367.109304986483,2864.890695013517,7135.976986958383,6096.023013041617
251,5,1438326000000,22205,2508,1,1,0,1,a,c,340,,,0,,,,20126.422227277624,2078.577772722376,20252.09837890625,1952.9016210937516,20208.248653821236,1996.751346178764,9798.844436538988,12406.155563461012
255,5,1438326000000,8711,739,1,1,0,1,c,c,4630,3,2011,1,35,2011,"Feb,May,Aug,Nov",9183.63065796532,-472.6306579653192,8840.243330078125,-129.24333007812493,8689.631314597613,21.3686854023872,7082.397653580469,1628.6023464195314
257,5,1438326000000,6874,749,1,1,0,1,a,a,420,12,2012,0,,,,6362.107432070259,511.89256792974084,6522.4526171875,351.54738281249956,6620.421108617968,253.57889138203245,6982.226314690284,-108.2263146902842
265,5,1438326000000,7502,655,1,1,0,1,a,a,4580,,,1,14,2015,"Jan,Apr,Jul,Oct",6926.457928370055,575.542071629945,6914.553388671875,587.4466113281251,7057.644831917769,444.3551680822311,6720.596742376307,781.4032576236932
270,5,1438326000000,11643,1338,1,1,0,1,a,a,1450,7,2014,0,,,,10876.658530613833,766.3414693861669,11171.11974609375,471.8802539062508,11702.252325348145,-59.25232534814495,7904.1046935744525,3738.8953064255475
271,5,1438326000000,10104,934,1,1,0,1,a,a,420,,,1,14,2011,"Jan,Apr,Jul,Oct",8417.174974091093,1686.8250259089073,8683.038330078125,1420.961669921875,8297.433651946074,1806.566348053926,7166.242707492871,2937.757292507129
272,5,1438326000000,9109,774,1,1,0,1,a,a,16180,7,2003,1,14,2011,"Jan,Apr,Jul,Oct",8233.97291094263,875.0270890573702,8931.875341796875,177.12465820312536,8317.597842745072,791.4021572549282,6966.373351746792,2142.6266482532083
276,5,1438326000000,5272,575,1,1,0,1,a,a,2960,10,2014,1,36,2013,"Mar,Jun,Sept,Dec",6262.283075838615,-990.2830758386153,6247.495,-975.4949999999999,6328.460069559103,-1056.4600695591034,6636.8126098275825,-1364.8126098275825
279,5,1438326000000,12709,814,1,1,0,0,d,c,2320,,,1,40,2012,"Jan,Apr,Jul,Oct",10707.688782965695,2001.3112170343047,11382.6806640625,1326.3193359375,10543.397535971886,2165.602464028114,6942.520136446197,5766.479863553803
281,5,1438326000000,8053,633,1,1,0,1,d,c,6970,9,2011,0,,,,7951.7569670029,101.24303299710027,7603.81642578125,449.18357421875044,7960.167388163096,92.8326118369041,7002.029760458128,1050.9702395418717
284,5,1438326000000,6788,520,1,1,0,0,d,a,1290,,,1,40,2014,"Jan,Apr,Jul,Oct",6707.406596134028,80.5934038659716,7314.53,-526.5299999999997,7194.2041555564465,-406.2041555564465,6352.161131745233,435.83886825476657
289,5,1438326000000,7522,616,1,1,0,1,d,a,6540,12,2007,0,,,,7513.206291172132,8.793708827867704,7179.747607421875,342.2523925781252,7462.684473000056,59.31552699994427,6835.582836897782,686.4171631022182
296,5,1438326000000,8579,801,1,1,0,1,a,a,9580,5,2007,1,45,2014,"Feb,May,Aug,Nov",8580.906974314179,-1.906974314179024,8720.34,-141.34000000000015,9108.51039200235,-529.5103920023503,7033.2747474097705,1545.7252525902295
301,5,1438326000000,6665,629,1,1,0,1,a,c,4510,3,2015,0,,,,6757.396743089541,-92.3967430895409,6713.7906640625,-48.79066406249967,6997.904908440596,-332.90490844059605,6975.8320348126,-310.8320348125999
313,5,1438326000000,10432,926,1,1,0,1,d,c,14160,,,0,,,,10560.48220967394,-128.48220967394082,11318.1044140625,-886.1044140624999,11201.30231028009,-769.3023102800908,7474.353903001873,2957.646096998127
314,5,1438326000000,6661,700,1,1,0,1,a,a,3560,10,2001,1,31,2013,"Feb,May,Aug,Nov",7266.482068634532,-605.482068634532,7379.74755859375,-718.74755859375,7664.740557334906,-1003.740557334906,6812.600720371382,-151.6007203713816
316,5,1438326000000,11678,927,1,1,0,1,d,a,9000,8,2001,0,,,,10401.03843685036,1276.96156314964,10902.19708984375,775.8029101562497,10570.21334748674,1107.7866525132595,7328.567755677068,4349.432244322932
317,5,1438326000000,7374,683,1,1,0,0,d,a,3140,7,2013,1,14,2011,"Jan,Apr,Jul,Oct",8241.522943449214,-867.5229434492139,7667.74599609375,-293.74599609375036,8302.322130493409,-928.3221304934086,6576.234531125083,797.7654688749171
318,5,1438326000000,8026,746,1,1,0,1,d,c,32330,3,2014,0,,,,8626.975680216914,-600.975680216914,9099.421142578125,-1073.421142578125,9065.434595159775,-1039.4345951597752,7276.4618180246325,749.5381819753675
320,5,1438326000000,19898,2316,1,1,0,1,a,c,210,9,2012,0,,,,18815.753446166476,1082.2465538335236,18839.39041015625,1058.6095898437488,19386.894449166542,511.1055508334575,9500.421893839055,10397.578106160945
323,5,1438326000000,10371,716,1,1,0,1,d,c,8400,4,2012,1,5,2013,"Feb,May,Aug,Nov",9476.36140326917,894.6385967308306,9627.8271484375,743.1728515625,9633.849731735474,737.150268264526,6991.653894756135,3379.346105243865
331,5,1438326000000,7537,814,1,1,0,1,a,c,670,,,1,14,2015,"Jan,Apr,Jul,Oct",7977.057570515488,-440.0575705154879,8072.58,-535.5799999999999,7867.016946337706,-330.01694633770603,7073.36847402656,463.63152597344015
332,5,1438326000000,4432,520,1,1,0,1,a,a,1840,3,2006,0,,,,4922.959090517892,-490.95909051789204,4741.094291992187,-309.0942919921872,5049.7412621598305,-617.7412621598305,6672.012154487777,-2240.0121544877766
339,5,1438326000000,7080,840,1,1,0,1,a,c,2280,,,1,10,2013,"Mar,Jun,Sept,Dec",9010.87580189936,-1930.8758018993594,8733.5480078125,-1653.5480078125001,8664.763233981615,-1584.7632339816155,7110.074227858655,-30.074227858654922
344,5,1438326000000,12767,1434,1,1,0,1,a,c,300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct",12375.00228607787,391.99771392213006,12975.84,-208.84000000000015,12840.148840181118,-73.14884018111843,8064.578468737745,4702.421531262255
345,5,1438326000000,4989,505,1,1,0,0,a,a,120,,,1,22,2012,"Jan,Apr,Jul,Oct",5263.959672327261,-274.9596723272607,5463.122861328125,-474.1228613281246,5674.349164656884,-685.3491646568837,6259.966449236672,-1270.966449236672
352,5,1438326000000,8204,716,1,1,0,1,d,c,6360,,,1,40,2012,"Mar,Jun,Sept,Dec",7606.418821405371,597.5811785946289,8505.924306640625,-301.9243066406252,9047.634440622813,-843.6344406228127,7050.707185338571,1153.2928146614286
353,5,1438326000000,7851,1851,1,1,0,1,b,b,900,,,1,14,2013,"Feb,May,Aug,Nov",8283.789189990004,-432.78918999000416,8382.38140625,-531.3814062500005,8160.3878728072705,-309.38787280727047,8630.660116056824,-779.6601160568243
357,5,1438326000000,10131,1218,1,1,0,1,a,a,2060,10,2008,0,,,,10640.79847033101,-509.7984703310103,10953.28357421875,-822.2835742187508,11266.472667745835,-1135.4726677458348,7704.941824037349,2426.058175962651
360,5,1438326000000,9135,881,1,1,0,1,a,a,2040,6,2007,0,,,,8243.25592954742,891.7440704525798,8175.162919921875,959.8370800781249,8099.480806782431,1035.5191932175694,7208.976655604027,1926.0233443959733
361,5,1438326000000,9806,812,1,1,0,1,c,c,4490,5,2014,1,5,2013,"Feb,May,Aug,Nov",9059.487709777335,746.5122902226649,8756.89833984375,1049.1016601562496,9224.399101577288,581.6008984227119,7101.00036836075,2704.99963163925
362,5,1438326000000,11686,1257,1,1,0,1,c,c,340,,,0,,,,10927.981459605357,758.0185403946434,11311.71419921875,374.28580078125015,11105.566215745694,580.4337842543064,7914.666060757212,3771.333939242788
369,5,1438326000000,8495,646,1,1,0,1,d,c,5870,4,2014,0,,,,7762.823128595001,732.1768714049986,7671.79345703125,823.20654296875,8021.751643500811,473.24835649918896,7041.385912506434,1453.6140874935663
370,5,1438326000000,9747,714,1,1,0,1,d,a,8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct",9424.419206819624,322.5807931803756,9317.84333984375,429.1566601562499,9292.770671419388,454.22932858061176,6931.905281696032,2815.094718303968
372,5,1438326000000,11470,874,1,1,0,1,d,c,4880,8,2010,1,18,2014,"Jan,Apr,Jul,Oct",11287.042775139591,182.95722486040904,10576.565,893.4349999999995,11345.249110422617,124.75088957738262,7233.249993883597,4236.750006116403
375,5,1438326000000,13241,1038,1,1,0,1,a,c,15710,2,2013,1,37,2009,"Jan,Apr,Jul,Oct",13041.511560755924,199.4884392440763,12186.28,1054.7199999999993,13520.198112539536,-279.19811253953594,7585.949263500021,5655.050736499979
376,5,1438326000000,11300,1083,1,1,0,1,a,a,160,8,2012,0,,,,8482.077748438654,2817.9222515613455,9577.15228515625,1722.8477148437505,9555.846786014325,1744.1532139856754,7505.370973849465,3794.6290261505346
377,5,1438326000000,14940,1400,1,1,0,1,a,c,100,6,2010,1,18,2010,"Feb,May,Aug,Nov",14501.603354077335,438.3966459226649,12445.41333984375,2494.58666015625,12582.005375615841,2357.9946243841587,8009.496473664243,6930.503526335757
381,5,1438326000000,10760,977,1,1,0,1,a,a,1800,11,2006,1,5,2013,"Feb,May,Aug,Nov",9150.07913040205,1609.9208695979505,10218.550673828126,541.4493261718744,9426.661774240023,1333.338225759977,7168.771364377957,3591.228635622043
390,5,1438326000000,16172,1219,1,1,0,1,a,c,1600,4,2009,0,,,,11037.629546853294,5134.3704531467065,11714.42408203125,4457.57591796875,11820.382512144333,4351.617487855667,7854.806524362735,8317.193475637265
392,5,1438326000000,7261,748,1,1,0,1,a,a,2120,,,0,,,,6990.120159401933,270.87984059806695,7269.91482421875,-8.914824218750255,7228.042762830442,32.95723716955763,7002.275486893981,258.724513106019
393,5,1438326000000,8124,725,1,1,0,1,d,c,4820,3,2008,0,,,,8448.367455515832,-324.36745551583226,8462.37173828125,-338.37173828125015,8846.941946111208,-722.9419461112084,7158.162679085159,965.8373209148413
395,5,1438326000000,4966,587,1,1,0,1,a,a,3620,2,2013,0,,,,5413.306929653895,-447.30692965389517,5866.470458984375,-900.470458984375,5676.296623609549,-710.296623609549,6787.787107958517,-1821.7871079585166
405,5,1438326000000,5569,530,1,1,0,1,a,a,1080,4,2008,1,14,2011,"Jan,Apr,Jul,Oct",5623.70399368981,-54.70399368980998,5419.243330078125,149.75666992187507,5450.276870093829,118.72312990617138,6565.774399133195,-996.7743991331954
409,5,1438326000000,7235,641,1,1,0,1,d,c,840,,,1,1,2013,"Jan,Apr,Jul,Oct",8245.936014050985,-1010.9360140509852,8360.56029296875,-1125.5602929687502,8189.40034289617,-954.4003428961696,6839.033964319999,395.96603568000137
410,5,1438326000000,7959,878,1,1,0,1,c,a,40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec",7564.900555379407,394.0994446205932,8161.435048828125,-202.43504882812522,7735.832432262188,223.16756773781162,7077.694922738854,881.3050772611459
416,5,1438326000000,13376,1425,1,1,0,1,a,c,4650,6,2014,0,,,,13059.703070305866,316.2969296941337,13609.3282421875,-233.3282421874992,13278.844970754868,97.15502924513203,8171.6954215189035,5204.3045784810965
418,5,1438326000000,8180,801,1,1,0,1,a,a,1060,5,2009,1,27,2011,"Feb,May,Aug,Nov",7792.4684355980735,387.5315644019265,8279.960498046876,-99.96049804687573,7902.581348977572,277.4186510224281,6992.928755235393,1187.0712447646074
420,5,1438326000000,6377,516,1,1,0,0,d,c,250,,,1,27,2012,"Jan,Apr,Jul,Oct",7035.398306423465,-658.3983064234653,6823.384619140625,-446.38461914062464,7276.0738252322735,-899.0738252322735,6452.267082585546,-75.26708258554572
422,5,1438326000000,5018,458,1,1,0,1,a,c,2880,,,0,,,,4724.848069373789,293.15193062621074,5133.282763671875,-115.28276367187482,4829.904712520129,188.09528747987133,6686.373585273017,-1668.373585273017
424,5,1438326000000,10141,930,1,1,0,1,d,c,1250,,,1,40,2011,"Jan,Apr,Jul,Oct",10194.320470851188,-53.320470851187565,11228.99134765625,-1087.9913476562506,11431.268194399363,-1290.268194399363,7383.973078480078,2757.0269215199223
428,5,1438326000000,7940,635,1,1,0,0,d,a,2960,12,2014,1,23,2015,"Mar,Jun,Sept,Dec",7861.035382447479,78.9646175525213,7789.78,150.22000000000025,7672.112548999077,267.88745100092274,6451.526290969312,1488.473709030688
