Year	Month	Production
1977	6	142.2
1977	7	137.2
1977	8	152.6
1977	9	166.8
1977	10	165.6
1977	11	198.6
1977	12	201.5
1978	1	170.7
1978	2	164.4
1978	3	179.7
1978	4	157
1978	5	168
1978	6	139.3
1978	7	138.6
1978	8	153.4
1978	9	138.9
1978	10	172.1
1978	11	198.4
1978	12	217.8
1979	1	173.7
1979	2	153.8
1979	3	175.6
1979	4	147.1
1979	5	160.3
1979	6	135.2
1979	7	148.8
1979	8	151
1979	9	148.2
1979	10	182.2
1979	11	189.2
1979	12	183.1
1980	1	170
1980	2	158.4
1980	3	176.1
1980	4	156.2
1980	5	153.2
1980	6	117.9
1980	7	149.8
1980	8	156.6
1980	9	166.7
1980	10	156.8
1980	11	158.6
1980	12	210.8
1981	1	203.6
1981	2	175.2
1981	3	168.7
1981	4	155.9
1981	5	147.3
1981	6	137
1981	7	141.1
1981	8	167.4
1981	9	160.2
1981	10	191.9
1981	11	174.4
1981	12	208.2
1982	1	159.4
1982	2	161.1
1982	3	172.1
1982	4	158.4
1982	5	114.6
1982	6	159.6
1982	7	159.7
1982	8	159.4
1982	9	160.7
1982	10	165.5
1982	11	205
1982	12	205.2
1983	1	141.6
1983	2	148.1
1983	3	184.9
1983	4	132.5
1983	5	137.3
1983	6	135.5
1983	7	121.7
1983	8	166.1
1983	9	146.8
1983	10	162.8
1983	11	186.8
1983	12	185.5
1984	1	151.5
1984	2	158.1
1984	3	143
1984	4	151.2
1984	5	147.6
1984	6	130.7
1984	7	137.5
1984	8	146.1
1984	9	133.6
1984	10	167.9
1984	11	181.9
1984	12	202
1985	1	166.5
1985	2	151.3
1985	3	146.2
1985	4	148.3
1985	5	144.7
1985	6	123.6
1985	7	151.6
1985	8	133.9
1985	9	137.4
1985	10	181.6
1985	11	182
1985	12	190
1986	1	161.2
1986	2	155.5
1986	3	141.9
1986	4	164.6
1986	5	136.2
1986	6	126.8
1986	7	152.5
1986	8	126.6
1986	9	150.1
1986	10	186.3
1986	11	147.5
1986	12	200.4
1987	1	177.2
1987	2	127.4
1987	3	177.1
1987	4	154.4
1987	5	135.2
1987	6	126.4
1987	7	147.3
1987	8	140.6
1987	9	152.3
1987	10	151.2
1987	11	172.2
1987	12	215.3
1988	1	154.1
1988	2	159.3
1988	3	160.4
1988	4	151.9
1988	5	148.4
1988	6	139.6
1988	7	148.2
1988	8	153.5
1988	9	145.1
1988	10	183.7
1988	11	210.5
1988	12	203.3
1989	1	153.3
1989	2	144.3
1989	3	169.6
1989	4	143.7
1989	5	160.1
1989	6	135.6
1989	7	141.8
1989	8	159.9
1989	9	145.7
1989	10	183.5
1989	11	198.2
1989	12	186.8
1990	1	172
1990	2	150.6
1990	3	163.3
1990	4	153.7
1990	5	152.9
1990	6	135.5
1990	7	148.5
1990	8	148.4
1990	9	133.6
1990	10	194.1
1990	11	208.6
1990	12	197.3
1991	1	164.4
1991	2	148.1
1991	3	152
1991	4	144.1
1991	5	155
1991	6	124.5
1991	7	153
1991	8	146
1991	9	138
1991	10	190
1991	11	192
1991	12	192
1992	1	147
1992	2	133
1992	3	163
1992	4	150
1992	5	129
1992	6	131
1992	7	145
1992	8	137
1992	9	138
1992	10	168
1992	11	176
1992	12	188
1993	1	139
1993	2	143
1993	3	150
1993	4	154
1993	5	137
1993	6	129
1993	7	128
1993	8	140
1993	9	143
1993	10	151
1993	11	177
1993	12	184
1994	1	151
1994	2	134
1994	3	164
1994	4	126
1994	5	131
1994	6	125
1994	7	127
1994	8	143
1994	9	143
1994	10	160
1994	11	190
1994	12	182
1995	1	138
1995	2	136
1995	3	152
1995	4	127
1995	5	151
1995	6	130
1995	7	119
1995	8	153
